original,traduzido
Fair,Ameno
Mostly Cloudy,Predominantemente Nublado
Cloudy,Nublado
Clear,Céu Limpo
Partly Cloudy,Parcialmente Nublado
Overcast,Nublado
Light Rain,Chuva Leve
Scattered Clouds,Nuvens Dispersas
Light Snow,Neve Leve
Fog,Nevoeiro
Rain,Chuva
Haze,Névoa
Fair / Windy,Ameno com Vento
Heavy Rain,Chuva Forte
Light Drizzle,Garoa Leve
Thunder in the Vicinity,Trovões nas Proximidades
Cloudy / Windy,Nublado / com Vento
T-Storm,Tempestade
Mostly Cloudy / Windy,Majoritariamente Nublado / com Vento
Snow,Neve
Thunder,Trovão
Light Rain with Thunder,Leve Chuva com Trovão
Smoke,Fumaça
Wintry Mix,Mistura Invernal
Partly Cloudy / Windy,Parcialmente Nublado / com Vento
Heavy T-Storm,Tempestade Forte
Light Rain / Windy,Chuva Leve / com Vento
Light Snow / Windy,Neve Leve / com Vento
Heavy Snow,Neve Forte
Light Thunderstorms and Rain,Tempestades Leves com Trovões e Chuva
Drizzle,Garoa
Thunderstorm,Tempestade com Trovões
Patches of Fog,Pedaços de Nevoeiro
Mist,Neblina
Light Freezing Rain,Chuva Leve Congelante
N/A Precipitation,Precipitação Indisponível
Shallow Fog,Nevoeiro Raso
Heavy Thunderstorms and Rain,Tempestades Fortes com Trovões e Chuva
Rain / Windy,Chuva / com Vento
Thunderstorms and Rain,Tempestades com Trovões e Chuva
Haze / Windy,Névoa / com Vento
Heavy Rain / Windy,Chuva Forte / com Vento
Showers in the Vicinity,Pancadas de Chuva nas Proximidades
Snow / Windy,Neve / com Vento
Light Freezing Drizzle,Garoa Leve Congelante
Heavy T-Storm / Windy,Tempestade Forte / com Vento
Light Freezing Fog,Nevoeiro Leve Congelante
Blowing Snow / Windy,Soprando Neve / com Vento
Heavy Snow / Windy,Neve Forte / com Vento
T-Storm / Windy,Tempestade / com Vento
Fog / Windy,Nevoeiro / com Vento
Blowing Snow,Soprando Neve
Thunder / Windy,Trovão / com Vento
Heavy Drizzle,Garoa Forte
Drizzle and Fog,Garoa e Nevoeiro
Snow and Sleet,Neve e Granizo
Wintry Mix / Windy,Mistura Invernal / com Vento
Blowing Dust / Windy,Soprando Poeira / com Vento
Light Ice Pellets,Granizo Leve
Light Rain Shower,Pancadas de Chuva Leves 
Light Sleet,Granizo Leve
Light Drizzle / Windy,Garoa Leve / com Vento
Light Snow and Sleet,Neve Leve e Granizo
Freezing Rain,Chuva Congelante
Blowing Dust,Soprando Poeira
Widespread Dust,Poeira Dispersa
Light Rain Showers,Pancadas de Chuva Leves  
Sleet,Granizo
Rain Showers,Pancadas de Chuva 
Ice Pellets,Granizo
Snow and Sleet / Windy,Neve e Granizo / com Vento
Smoke / Windy,Fumaça / com Vento
Light Freezing Rain / Windy,Chuva Leve Congelante / com Vento
Small Hail,Granizo Leve
Rain Shower,Pancadas de Chuva 
Sand / Dust Whirlwinds,Redemoinhos de Areia / Poeira 
Squalls / Windy,Tempestade / com Vento
Light Snow and Sleet / Windy,Neve Leve e Granizo / com Vento
Light Snow Shower,Pancadas Leves de Neve 
Partial Fog,Nevoeiro Parcial
Hail,Granizo
Light Snow with Thunder,Neve Leve com Trovão
Squalls,Tempestade
Heavy Sleet,Granizo Forte
Freezing Drizzle,Garoa Congelante
Thunder / Wintry Mix,Trovão / Mistura Invernal
Sleet / Windy,Granizo / com Vento
Light Snow Showers,Pancadas Leves de Neve 
Widespread Dust / Windy,Poeira Dispersa / com Vento
Drizzle / Windy,Garoa / com Vento
Light Thunderstorms and Snow,Tempestades Leves com Trovões e Neve
Funnel Cloud,Nuvem Funil
Volcanic Ash,Cinzas Vulcânicas
Snow and Thunder,Neve e Trovão
Tornado,Tornado
Sand,Areia
Freezing Rain / Windy,Congelante Chuva / com Vento
Light Rain Shower / Windy,Pancadas Leves de Chuva / com Vento
Mist / Windy,Neblina / com Vento
Light Sleet / Windy,Granizo Leve / com Vento
Thunder and Hail,Trovão e Granizo
Heavy Freezing Rain,Chuva Forte Congelante
Thunder / Wintry Mix / Windy,Trovão / Mistura Invernal / com Vento
Light Haze,Névoa Leve
Snow Grains,Flocos de Neve
Heavy Snow with Thunder,Neve Forte com Trovão
Heavy Rain Showers,Pancadas Fortes de Chuva
Patches of Fog / Windy,Pedaços de Nevoeiro / com Vento
Heavy Thunderstorms with Small Hail,Forte Tempestades com Trovões com Granizo Leve
Shallow Fog / Windy,Nevoeiro Raso / com Vento
Drifting Snow / Windy,Neve à Deriva / com Vento
Sand / Dust Whirls Nearby,Redemoinhos de Areia / Poeira Próximos
Light Snow Grains,Flocos de Neve Leves
Heavy Freezing Drizzle,Garoa Forte Congelante
Light Snow Shower / Windy,Pancadas de Neve Leves / com Vento
Heavy Thunderstorms and Snow,Tempestades Fortes com Trovões e Neve
Low Drifting Snow,Neve à Deriva Baixa 
Heavy Blowing Snow,Soprando Neve Forte
Light Fog,Nevoeiro Leve
Heavy Ice Pellets,Granizo Forte
Sleet and Thunder,Granizo e Trovão
Sand / Dust Whirlwinds / Windy,Redemoinhos de Areia / Poeira / com Vento
Duststorm,Tempestade de Poeira
Light Hail,Granizo Leve
Thunderstorms and Snow,Tempestades com Trovões e Neve
Light Thunderstorm,Tempestades com Trovões Leves
Heavy Rain Shower,Pancadas Fortes de Chuva 
Light Blowing Snow,Soprando Neve Leve
Rain Shower / Windy,Pancadas de Chuva / com Vento
Blowing Sand,Soprando Areia
Heavy Sleet and Thunder,Granizo Forte com Trovão
Thunder and Hail / Windy,Trovão and Granizo / com Vento
Rain and Sleet,Chuva e Granizo
Snow Showers,Pancadas de Neve
Snow and Thunder / Windy,Neve e Trovão / com Vento
Partial Fog / Windy,Nevoeiro Parcial / com Vento
Heavy Rain Shower / Windy,Pancadas Fortes de Chuva / com Vento
Blowing Snow Nearby,Soprando Neve Próximo
Heavy Freezing Rain / Windy,Chuva Forte Congelante / com Vento
Sand / Windy,Areia / com Vento
Heavy Sleet / Windy,Granizo Forte / com Vento
Heavy Smoke,Fumaça Forte
Dust Whirls,Redemoinhos de Poeira
Drifting Snow,Neve à Deriva
